

Software Version	3.16.10



Experiment File Path:	C:\Users\48707651\Documents\Caleb\CMG2_167.xpt
Protocol File Path:	C:\Users\48707651\Documents\Caleb\CMG_8x3_7hr.prt



Plate Number	Plate 1
Date	3/13/2026
Time	3:58:46 PM
Reader Type:	Cytation5
Reader Serial Number:	1601252F
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Start Kinetic	Runtime 7:00:00 (HH:MM:SS), Interval 0:01:00, 421 Reads
    Read	Luminescence Endpoint
	A1..C8
	Integration Time: 0:01.00 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 100 msec
	Extended Dynamic Range
	Read Height: 4.5 mm
End Kinetic	

Lum

Time	T° Lum	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:00	21.3	2444	1611	566	360	12	3	2	2					1936	1660	447	463	11	4	2	2					2067	2229	655	404	8	4	3	2																																																																
0:01:00	21.3	2539	1680	575	394	13	5	3	3					1988	1681	473	476	13	4	4	3					2108	2303	675	430	11	4	3	4																																																																
0:02:00	21.3	2537	1705	603	404	16	4	4	3					1971	1684	475	462	15	5	4	3					2094	2283	662	426	13	5	4	3																																																																
0:03:00	21.3	2537	1678	605	416	17	5	3	3					1955	1695	487	463	13	5	3	3					2067	2257	676	447	12	4	3	3																																																																
0:04:00	21.3	2504	1640	621	413	18	5	3	3					1921	1657	464	461	16	5	3	4					2025	2199	654	416	14	6	4	3																																																																
0:05:00	21.3	2460	1627	587	417	19	6	4	3					1887	1623	476	462	16	6	4	3					1965	2173	648	427	12	5	3	3																																																																
0:06:00	21.3	2425	1600	580	412	22	5	4	3					1859	1574	463	465	17	5	4	3					1952	2155	628	421	14	5	4	3																																																																
0:07:00	21.3	2361	1564	578	405	19	5	4	4					1800	1555	447	454	18	6	4	3					1924	2100	617	421	14	4	4	3																																																																
0:08:00	21.3	2337	1544	579	404	21	5	4	3					1776	1529	443	446	17	6	4	3					1862	2067	608	409	15	5	4	3																																																																
0:09:00	21.3	2283	1497	568	388	21	6	4	3					1740	1493	437	446	17	6	5	3					1823	2020	603	399	13	5	3	3																																																																
0:10:00	21.3	2248	1468	547	385	22	5	4	3					1698	1462	416	440	16	5	4	3					1793	1951	599	397	12	6	4	3																																																																
0:11:00	21.3	2234	1445	545	381	21	5	5	3					1659	1435	416	438	19	5	4	3					1764	1906	571	392	15	6	4	3																																																																
0:12:00	21.3	2136	1415	533	370	18	5	4	3					1622	1391	411	422	19	5	4	3					1703	1864	563	382	14	6	3	3																																																																
0:13:00	21.3	2087	1391	520	367	21	5	4	3					1588	1370	399	420	20	6	3	4					1671	1805	542	372	14	5	4	3																																																																
0:14:00	21.4	2029	1341	507	356	19	7	5	3					1546	1329	397	418	18	5	4	3					1625	1787	533	373	13	5	4	4																																																																
0:15:00	21.4	2014	1308	494	345	23	6	5	3					1514	1302	386	392	19	6	4	3					1572	1727	532	347	15	6	3	3																																																																
0:16:00	21.4	1930	1277	498	350	20	6	4	3					1483	1254	370	396	21	6	4	3					1562	1703	521	352	15	5	4	3																																																																
0:17:00	21.4	1883	1250	469	332	21	5	4	3					1429	1211	363	390	20	6	5	3					1521	1646	513	341	15	6	4	3																																																																
0:18:00	21.4	1853	1230	469	335	21	6	4	3					1417	1203	353	391	22	5	5	3					1475	1626	485	345	14	7	4	3																																																																
0:19:00	21.4	1798	1196	453	321	21	6	4	4					1391	1175	355	389	20	6	4	3					1429	1585	481	327	14	7	3	4																																																																
0:20:00	21.4	1762	1168	449	316	21	7	5	3					1357	1140	343	369	18	5	3	3					1404	1521	475	327	14	5	3	3																																																																
0:21:00	21.4	1709	1144	447	314	22	6	4	3					1332	1113	337	365	20	6	5	3					1366	1493	472	307	14	6	4	3																																																																
0:22:00	21.4	1675	1102	429	299	22	6	5	3					1302	1083	324	359	21	7	5	4					1327	1477	448	302	17	5	4	4																																																																
0:23:00	21.5	1627	1084	422	293	23	6	4	3					1244	1048	322	356	20	6	4	3					1308	1424	459	307	15	5	4	3																																																																
0:24:00	21.5	1581	1057	410	286	21	5	5	3					1228	1016	315	340	21	5	4	3					1277	1381	431	284	15	7	4	4																																																																
0:25:00	21.5	1545	1035	400	295	21	6	5	4					1190	996	307	344	24	7	4	3					1226	1368	432	284	14	5	4	4																																																																
0:26:00	21.5	1509	1012	395	270	21	6	4	3					1163	972	305	329	21	6	5	4					1221	1331	414	282	16	6	5	4																																																																
0:27:00	21.5	1482	980	390	277	23	6	5	3					1127	949	291	330	21	6	5	3					1174	1286	420	271	14	7	4	3																																																																
0:28:00	21.5	1430	963	388	264	22	6	4	3					1101	920	286	328	20	6	5	3					1164	1259	406	275	16	5	4	3																																																																
0:29:00	21.5	1401	948	374	264	21	6	5	4					1106	908	286	317	22	7	6	3					1114	1207	392	261	15	7	4	3																																																																
0:30:00	21.5	1360	912	355	252	22	7	4	3					1051	881	277	313	22	7	5	3					1089	1179	379	248	15	6	4	3																																																																
0:31:00	21.5	1327	887	361	254	20	7	4	3					1030	850	268	306	22	6	4	4					1062	1166	373	247	15	6	4	3																																																																
0:32:00	21.5	1278	878	340	241	23	6	4	4					1023	837	262	307	22	5	4	3					1042	1134	373	244	13	6	4	4																																																																
0:33:00	21.6	1269	845	355	235	20	6	4	3					979	822	261	295	21	6	4	3					1003	1097	354	244	13	6	4	3																																																																
0:34:00	21.6	1220	835	334	239	22	6	4	3					952	793	248	287	20	7	5	4					984	1078	348	236	13	5	4	3																																																																
0:35:00	21.6	1183	811	326	229	24	6	5	3					939	768	258	296	21	6	4	3					963	1043	350	223	14	6	4	4																																																																
0:36:00	21.6	1179	777	315	226	22	6	5	3					917	759	243	284	22	6	6	4					929	1014	333	225	16	6	4	3																																																																
0:37:00	21.6	1139	775	323	215	24	6	4	4					879	735	244	286	22	7	5	3					924	989	334	216	15	6	4	3																																																																
0:38:00	21.6	1106	746	310	212	22	9	5	4					867	712	242	280	22	6	5	3					881	973	326	219	14	6	4	4																																																																
0:39:00	21.6	1099	734	305	208	24	5	4	3					846	694	234	269	23	7	5	3					869	948	324	212	16	6	5	3																																																																
0:40:00	21.6	1045	716	299	207	22	6	4	4					834	678	228	269	22	7	4	3					852	904	311	209	15	7	5	3																																																																
0:41:00	21.7	1033	704	297	210	21	7	5	4					821	659	214	265	21	6	5	4					825	892	316	200	15	5	4	3																																																																
0:42:00	21.7	1006	688	284	207	24	6	4	3					793	656	215	251	22	7	4	4					807	872	307	199	15	5	4	4																																																																
0:43:00	21.7	976	674	292	193	20	7	4	4					784	626	212	251	19	6	5	4					796	868	298	190	14	6	5	3																																																																
0:44:00	21.7	953	642	274	189	24	7	5	4					759	618	205	246	21	6	5	3					764	830	286	189	15	6	5	3																																																																
0:45:00	21.7	939	644	270	184	21	7	4	3					745	600	202	251	23	7	6	3					743	814	286	183	15	6	4	3																																																																
0:46:00	21.7	925	614	267	187	21	7	4	4					726	584	201	248	23	7	5	3					747	788	282	185	14	6	4	4																																																																
0:47:00	21.7	890	604	268	181	22	6	5	4					706	575	192	240	22	6	5	4					723	784	282	185	15	6	5	3																																																																
0:48:00	21.7	881	593	249	183	24	6	5	4					681	566	195	231	21	6	5	3					693	743	271	176	16	6	4	4																																																																
0:49:00	21.7	848	586	257	178	22	7	5	3					676	547	194	231	22	6	5	4					690	739	269	172	15	5	4	4																																																																
0:50:00	21.7	810	565	250	172	20	7	5	3					663	532	186	230	22	6	5	4					665	721	252	172	15	7	4	4																																																																
0:51:00	21.8	816	563	242	166	22	7	5	3					655	514	184	221	23	7	5	4					662	702	257	168	14	7	4	3																																																																
0:52:00	21.8	801	547	238	165	22	6	4	4					626	521	181	218	23	8	5	3					643	694	249	164	15	5	5	4																																																																
0:53:00	21.8	774	529	238	159	22	6	4	4					618	504	180	218	22	7	5	4					633	679	246	158	15	6	4	3																																																																
0:54:00	21.8	742	527	231	161	23	7	5	4					609	491	175	217	24	6	5	3					623	659	236	158	15	6	5	4																																																																
0:55:00	21.8	733	509	226	146	21	7	5	3					602	470	171	209	22	8	5	4					602	639	233	149	14	6	4	4																																																																
0:56:00	21.8	719	497	227	156	21	7	6	4					567	463	167	208	22	7	5	4					582	627	230	152	16	6	4	3																																																																
0:57:00	21.8	701	483	220	147	23	6	5	3					559	458	165	208	22	8	5	4					564	602	224	147	14	6	5	3																																																																
0:58:00	21.8	680	480	219	145	21	7	5	4					544	444	160	208	24	8	5	4					562	596	224	143	15	6	4	4																																																																
0:59:00	21.8	669	470	221	146	24	6	5	4					542	440	159	209	24	7	4	4					551	592	219	146	15	7	4	4																																																																
1:00:00	21.8	657	466	205	138	21	6	5	3					531	429	160	204	25	6	6	4					530	560	215	135	15	6	5	4																																																																
1:01:00	21.8	647	462	207	140	21	7	5	4					517	415	157	193	23	7	5	4					535	564	208	141	15	5	5	4																																																																
1:02:00	21.9	628	445	193	136	23	6	6	3					516	413	154	192	22	7	5	4					515	537	208	136	14	5	4	4																																																																
1:03:00	21.9	608	438	202	136	23	6	5	3					504	397	150	193	22	7	5	4					491	541	208	134	13	6	4	3																																																																
1:04:00	21.9	589	417	199	130	21	6	5	4					484	394	145	190	25	7	6	4					488	518	198	128	14	7	5	3																																																																
