

Software Version	3.16.10



Experiment File Path:	C:\Users\48707651\Documents\Caleb\CMG2_162.xpt
Protocol File Path:	



Plate Number	Plate 1
Date	3/10/2026
Time	7:40:36 PM
Reader Type:	Cytation5
Reader Serial Number:	1601252F
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Start Kinetic	Runtime 7:00:00 (HH:MM:SS), Interval 0:01:00, 421 Reads
    Read	Luminescence Endpoint
	A1..C8
	Integration Time: 0:01.00 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 100 msec
	Extended Dynamic Range
	Read Height: 4.5 mm
End Kinetic	

Lum

Time	T° Lum	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:00	22.2	84	51	26	11	84	58	27	13					89	52	30	13	90	57	29	13					95	59	30	12	93	58	29	14																																																																
0:01:00	22.2	81	51	25	12	80	51	26	14					81	53	26	12	88	51	28	14					79	54	25	14	78	51	27	13																																																																
0:02:00	22.2	74	48	25	13	69	52	24	12					75	47	26	13	81	47	27	13					75	49	26	11	78	51	25	14																																																																
0:03:00	22.2	70	42	24	12	68	47	25	11					68	46	24	11	74	47	24	11					68	46	24	12	73	44	22	11																																																																
0:04:00	22.2	67	45	23	11	69	44	21	11					67	47	22	11	68	45	22	11					66	46	22	12	66	43	23	12																																																																
0:05:00	22.2	65	43	23	11	64	42	21	11					60	42	23	10	62	41	22	12					61	45	23	12	65	44	22	11																																																																
0:06:00	22.2	63	37	21	11	56	40	20	10					54	44	21	11	64	41	22	11					61	41	21	10	64	43	22	11																																																																
0:07:00	22.2	60	38	20	11	56	36	22	12					60	39	22	10	62	42	19	9					57	41	22	10	57	39	21	11																																																																
0:08:00	22.2	54	40	22	10	51	41	19	9					57	42	20	11	57	39	19	11					55	38	21	12	55	39	21	10																																																																
0:09:00	22.2	50	36	18	11	53	39	21	10					49	38	21	12	56	38	19	12					51	38	22	11	49	35	22	11																																																																
0:10:00	22.2	50	35	18	11	54	38	21	10					45	36	20	10	51	40	18	12					47	33	19	9	50	35	18	12																																																																
0:11:00	22.3	49	33	19	11	44	36	21	11					48	33	20	10	47	37	19	11					50	36	19	11	46	37	20	10																																																																
0:12:00	22.3	48	33	19	11	48	32	20	10					44	32	19	12	42	36	17	10					43	33	22	10	45	35	21	11																																																																
0:13:00	22.3	44	33	19	11	41	34	20	10					44	33	21	9	42	34	19	10					40	35	19	10	43	35	20	11																																																																
0:14:00	22.3	45	32	19	11	43	33	21	9					39	32	20	10	40	32	18	10					42	34	20	10	40	32	20	10																																																																
0:15:00	22.3	39	30	17	10	37	33	19	9					40	30	18	8	39	31	20	8					42	32	19	11	40	34	19	11																																																																
0:16:00	22.3	38	30	19	9	38	33	19	11					40	32	20	10	36	30	18	9					36	30	18	10	36	33	21	10																																																																
0:17:00	22.3	38	27	20	11	36	29	18	11					36	34	21	9	37	29	18	9					35	32	19	10	36	29	18	10																																																																
0:18:00	22.3	33	27	17	9	33	32	17	10					34	28	19	10	37	29	19	11					35	31	18	9	33	27	17	10																																																																
0:19:00	22.4	33	28	18	10	34	29	17	9					34	30	18	9	34	28	19	9					31	30	18	9	32	31	18	10																																																																
0:20:00	22.4	31	29	17	10	29	29	20	9					32	27	20	8	33	27	19	10					29	29	18	10	28	28	20	9																																																																
0:21:00	22.4	31	28	18	9	28	27	14	10					30	28	18	10	30	29	17	10					31	28	19	10	28	25	20	10																																																																
0:22:00	22.4	29	27	19	10	29	33	18	10					28	27	18	10	30	29	17	9					28	27	17	10	26	25	19	9																																																																
0:23:00	22.4	28	28	20	10	27	25	18	10					27	26	18	9	27	25	19	9					28	26	18	10	28	26	17	9																																																																
0:24:00	22.4	28	24	18	9	26	25	16	9					27	26	19	9	26	25	16	10					25	24	17	10	25	26	16	11																																																																
0:25:00	22.4	25	25	17	11	26	23	15	11					25	25	16	10	27	26	17	10					27	25	17	10	26	26	17	9																																																																
0:26:00	22.5	23	28	18	9	25	24	18	11					24	25	17	10	25	24	16	10					23	24	17	9	24	25	17	10																																																																
0:27:00	22.5	24	23	17	10	23	23	17	8					25	24	16	10	22	24	17	10					23	24	18	9	23	25	16	10																																																																
0:28:00	22.5	23	23	19	9	21	23	17	10					22	23	19	10	21	23	17	10					21	25	19	10	22	22	17	10																																																																
0:29:00	22.5	20	24	17	10	23	23	18	10					23	22	16	10	22	22	18	8					21	22	16	9	20	22	16	11																																																																
0:30:00	22.5	21	21	17	10	20	19	17	9					22	20	16	9	22	22	19	9					21	21	15	9	21	22	14	9																																																																
0:31:00	22.5	18	22	16	9	19	25	17	9					20	21	17	10	20	21	16	11					19	21	15	10	21	21	16	9																																																																
0:32:00	22.5	21	22	19	11	19	22	17	8					20	19	16	9	19	21	17	10					19	21	15	9	19	23	16	9																																																																
0:33:00	22.5	17	20	16	10	20	18	16	9					19	19	17	10	20	22	16	10					17	21	17	10	18	22	17	11																																																																
0:34:00	22.5	17	22	15	9	19	19	16	9					19	20	15	10	15	22	16	10					19	20	18	9	18	18	16	10																																																																
