

Software Version	2.09.1



Experiment File Path:	C:\Users\Lippert Lab\Documents\LippertLab\Caleb\CMG1_210.xpt
Protocol File Path:	



Plate Number	Plate 1
Date	10/28/2024
Time	4:18:21 PM
Reader Type:	Cytation5
Reader Serial Number:	1601252F
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Start Kinetic	Runtime 2:00:00 (HH:MM:SS), Interval 0:01:00, 121 Reads
    Read	Luminescence Endpoint
	A1..F8
	Integration Time: 0:01.00 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 135
	Read Speed: Normal,  Delay: 100 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Kinetic	

Lum

Time	T° Lum	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
1:05:00	24.8	18543	17893	17883	18760	19513	13958	37675	69076					17363	17275	16832	16827	17906	83138	77295	20434					19952	17867	18490	16245	19192	23052	41671	52211					19305	18352	17683	17894	19172	50878	78817	18413					18620	19657	18097	20573	21568	17792	33413	85512					19781	18972	18894	20734	21024	65482	112835	18304																												
1:06:00	24.9	18086	17436	17463	18250	19229	13775	37139	67008					17196	17001	16553	16359	17631	81795	75525	20087					19566	17684	18040	15848	18934	22658	40608	50617					18972	18050	17100	17574	18868	49471	76453	18291					18132	19652	17514	20086	21489	17234	32751	83180					19389	18728	18507	20464	20659	63660	108718	17906																												
1:07:00	24.9	17709	17125	17242	18058	18726	13469	36123	65657					16781	16812	16368	16177	17200	79633	73614	19894					19229	17683	17752	15509	18386	22185	40064	49691					18565	17568	16835	17336	18599	48389	74956	17940					17709	19132	17323	19517	21110	17085	32028	81363					18994	18042	17836	20040	20643	61803	108911	17679																												
1:08:00	24.9	17314	16795	17212	17812	18485	13186	35139	64056					16554	16160	16061	15769	16747	77927	71910	19551					18993	17134	17348	15191	18285	21758	39084	48449					18037	17371	16600	17171	18364	46915	73301	17337					17216	18759	16799	19511	20922	16482	31129	79278					18705	17769	17725	19733	20339	60223	105159	17175																												
1:09:00	24.9	17067	16548	16814	17225	17780	13021	34176	62108					16170	16038	15677	15768	16527	76337	70028	19570					18651	16954	16975	14905	17587	21116	38361	47053					18040	17090	16322	16749	18162	46143	71560	17294					16964	18254	16470	18986	20453	16296	30566	77288					18403	17544	17328	19433	20077	58767	101776	17035																												
1:10:00	24.9	16914	16339	16439	17197	17557	12674	33687	60994					15588	15844	15473	15416	16223	74920	68829	18874					18304	16476	16948	14739	17344	20631	37210	46155					17520	16683	15889	16379	18005	44664	69937	17012					16417	17845	16118	18813	20464	15922	29794	75392					17934	17063	17166	19129	19742	57551	100071	16702																												
1:11:00	24.9	16236	15891	16260	16722	17179	12381	32813	59633					15404	15684	15073	14923	15858	73127	67235	18595					17927	16076	16495	14255	16775	20331	36618	45169					17163	16390	15508	16195	17925	43684	68017	16489					16128	17665	15820	18493	20197	15640	29216	73498					17728	16637	16623	18658	19815	56152	98232	16357																												
1:12:00	24.9	15961	15484	15937	16583	16773	12262	31770	58277					15217	15393	14868	14762	15421	71660	65734	18328					17727	16018	16199	13882	16581	19797	35753	44136					17075	15971	15323	16123	17535	42541	66913	16030					15774	17231	15333	18067	19918	15268	28346	71982					17214	16336	16354	18683	19293	54543	95942	16158																												
1:13:00	24.9	15658	15140	15722	16416	16325	12099	31079	56946					14790	14972	14495	14510	15173	70153	64380	18134					17528	15683	16008	13736	16027	19425	34908	42806					16578	15658	14917	15789	17442	41318	65400	15806					15544	17037	15075	17788	19875	14943	27962	70310					16942	15896	16028	18233	19322	52947	93563	15861																												
1:14:00	24.9	15529	15072	15238	15907	16213	11760	30243	55962					14694	14722	14220	14258	14885	68200	62795	17766					17425	15223	15706	13516	15806	18898	34233	42499					16243	15602	14614	15500	17177	40641	64089	15686					15159	16710	14911	17365	19522	14748	27240	68296					16564	15565	15750	17935	18898	52038	91787	15369																												
1:15:00	24.9	15138	14674	15047	15915	15983	11483	29697	54140					14577	14534	13768	13975	14699	67005	61417	17326					16757	15102	15457	13128	15429	18555	33675	41117					16105	15174	14313	15150	16973	39515	62414	15196					15054	16259	14551	17273	19450	14266	26324	67073					16516	15011	15423	17627	18689	50258	90146	15251																												
1:16:00	24.9	14868	14516	14978	15296	15416	11280	29019	53363					14182	14373	13599	13846	14444	65461	59982	17190					16638	14722	15172	12913	15186	18225	33054	40368					15640	14899	13950	15008	16773	38480	60720	15066					14466	16071	14185	16990	18833	14035	25896	65651					15957	14827	14975	17250	18511	49786	88202	15011																												
1:17:00	24.9	14741	14077	14558	15310	15177	11012	28471	51865					13941	14101	13438	13522	14266	64168	58912	16959					16467	14531	14723	12632	14813	17564	31809	39258					15586	14746	13695	14776	16740	37542	59215	14748					14239	15682	14001	16556	18767	13701	25178	64039					15777	14481	14692	16854	18274	47974	85880	14447																												
1:18:00	24.9	14215	14016	14332	15049	14829	10953	27846	50709					13592	13829	13060	13297	13986	62623	57560	16645					16022	14229	14541	12326	14507	17394	31175	38205					15182	14539	13529	14525	16514	36755	58232	14288					13948	15844	13495	16361	18746	13633	24700	62527					15523	14388	14620	16544	18089	46891	84129	14459																												
1:19:00	25.0	13957	13665	14166	14653	14565	10616	27017	49758					13117	13406	12764	12989	13419	61277	56220	16427					15597	14065	14348	12132	14391	17064	30600	37570					14858	14273	13189	14528	16198	35848	57139	14014					13703	15262	13318	15937	18351	13287	24205	60863					15360	13828	14148	16392	17884	46161	82634	14204																												
1:20:00	25.0	13654	13384	13800	14400	14367	10371	26344	48323					13099	13269	12678	12950	13382	60259	54949	16290					15455	13631	14042	11916	13882	16685	30057	36928					14712	13828	13006	14082	16003	35280	55373	13914					13360	14957	13026	15756	18133	12883	23809	59887					14597	13798	13820	16164	17780	44433	80597	13908																												
1:21:00	25.0	13496	13186	13579	14109	14034	10285	25739	47706					12853	13085	12347	12558	13203	59341	54008	15969					15061	13184	13923	11457	13776	16252	29383	36080					14505	13836	12595	13887	16032	33974	54738	13462					13376	14658	12859	15132	18013	12569	23319	58619					14677	13347	13717	15994	17503	43754	79310	13512																												
1:22:00	25.0	13179	13055	13442	13927	13880	9863	25080	46046					12607	12891	11998	12363	12996	58307	52834	15585					15055	13297	13530	11358	13367	15826	28925	35449					14061	13369	12557	13568	15876	33309	53487	13445					12743	14419	12544	15056	17960	12405	22380	57039					14319	13069	13477	15641	17196	42612	77861	13329																												
1:23:00	25.0	13004	12901	13305	13724	13520	9875	24775	45252					12328	12917	12022	12202	12603	56850	51677	15586					14727	12944	13259	11009	13085	15601	28033	34536					13805	13279	12312	13326	15523	32644	52292	13148					12816	14295	12182	14866	17566	12358	22154	55830					14132	12738	13243	15475	16711	41758	76124	13154																												
1:24:00	25.0	12792	12521	12966	13470	13225	9697	24035	44509					12221	12502	11531	12212	12554	55743	51225	15278					14308	12687	13185	10995	12739	15179	27658	33645					13554	12998	11858	13090	15383	32074	51195	12896					12434	13911	12023	14758	17389	11935	21626	54829					13868	12547	13035	15116	16895	40656	74790	13032																												
1:25:00	25.0	12494	12387	12653	13254	12982	9360	23740	43332					12066	12477	11362	11916	12134	54313	49779	15070					14427	12320	12826	10764	12559	14894	27018	33397					13238	12758	11743	12919	15289	31214	50527	12496					12158	13688	11619	14322	17001	11623	21252	53603					13578	12342	12557	15161	16800	39993	72794	12785																												
1:26:00	25.0	12314	12024	12543	13098	12645	9303	22976	42770					11801	12120	11194	11609	11870	53787	48700	14850					13957	12102	12517	10657	12276	14841	26583	32235					13094	12605	11524	12732	15122	30523	49068	12310					12041	13404	11468	14065	16940	11458	20929	52188					13348	12060	12485	14733	16454	39090	71696	12574																												
1:27:00	25.0	12155	12053	12230	12843	12604	9009	22894	41903					11628	11975	10975	11703	11603	52514	47908	14590					13874	12020	12597	10401	11782	14174	26132	31675					12947	12438	11303	12437	14901	29760	48474	12215					11699	13170	11294	13805	16870	11259	20194	51391					12931	11831	12132	14484	16235	37807	70268	12219																												
1:28:00	25.0	11927	11892	12283	12692	12265	9014	22078	40764					11307	11945	10845	11342	11497	51708	46869	14256					13860	11762	12138	10132	11803	13876	25656	31119					12847	12038	11014	12283	14789	29297	47161	11924					11488	12821	11100	13617	16739	10993	19887	50450					12887	11551	11935	14368	16080	37324	69196	12057																												
1:29:00	25.0	11706	11633	11925	12413	12054	8798	21679	40182					11104	11750	10581	11263	11153	50932	45753	14064					13330	11662	11941	9953	11786	13754	25424	30440					12584	12099	10664	12192	14471	28426	46226	11657					11297	12766	10749	13430	16292	10906	19762	48897					12723	11478	11777	13907	15818	36424	67860	11963																												
1:30:00	25.0	11567	11433	11644	12312	11676	8658	21367	39244					11037	11579	10513	11032	10966	49736	45317	13906					13190	11506	11812	9797	11315	13430	24609	30095					12385	11823	10626	11899	14268	27838	45178	11499					10973	12577	10567	13083	16240	10550	19121	48091					12417	11122	11556	13949	15577	35937	66727	11720																												
1:31:00	25.0	11304	11138	11670	12120	11591	8454	20625	38535					10786	11251	10243	10748	10933	48793	44300	13722					13024	11226	11735	9504	11066	13150	23990	29241					12295	11663	10516	11751	14224	26961	44501	11414					10868	12237	10493	12955	16069	10407	18487	47304					12086	11022	11457	13592	15478	35192	65450	11510																												
1:32:00	25.1	11300	11032	11262	11861	11449	8336	20429	37617					10611	11295	9998	10542	10636	48106	43645	13451					12896	11035	11527	9386	10911	12885	23684	28943					11943	11503	10223	11494	14062	26841	43336	11234					10598	12115	10208	12660	15722	10095	18190	46165					12093	10658	11122	13468	15226	34281	63824	11194																												
1:33:00	25.1	11114	11082	11177	11853	11281	8099	19869	36834					10677	11001	9936	10393	10589	47414	42576	13489					12632	10689	11398	9270	10803	12714	23197	28403					11860	11261	10083	11516	13918	26242	43012	11052					10503	11961	10084	12437	15563	9844	18153	45015					11659	10340	10735	13299	15011	33625	62879	11008																												
1:34:00	25.1	10807	10747	10885	11611	11161	7960	19630	36436					10255	10891	9571	10328	10252	46370	41929	12966					12388	10601	11084	8986	10534	12336	22754	28001					11738	11013	9982	11089	13658	25571	41949	10734					10154	11574	9767	12273	15357	9740	17700	44395					11671	10208	10668	13227	14888	32927	62028	10839																												
1:35:00	25.1	10712	10533	10800	11385	10812	7828	19193	35585					10107	10686	9595	10141	10182	45329	41370	13065					12182	10474	11023	8903	10258	12168	22482	27167					11441	10942	9832	10855	13488	25292	41277	10461					10100	11501	9622	12020	15192	9527	17314	43467					11439	10129	10424	12736	14926	32265	60800	10628																												
1:36:00	25.1	10573	10497	10547	11144	10861	7719	18776	35069					10042	10543	9290	9941	10011	44714	40663	12800					12021	10479	10894	8737	9952	11815	21902	26649					11382	10817	9495	10677	13356	24712	40337	10395					9748	11258	9430	11807	15030	9413	16972	42724					11083	9882	10282	12552	14588	31419	59563	10593																												
1:37:00	25.1	10484	10274	10465	11181	10473	7642	18292	34346					9753	10369	9302	10033	9754	43802	39906	12807					11981	10083	10718	8495	9903	11806	21416	26379					11085	10528	9218	10516	13280	24369	40116	10198					9626	11183	9112	11556	14958	9287	16610	41960					10906	9764	10287	12294	14320	30890	58952	10313																												
1:38:00	25.1	10218	10156	10252	10881	10295	7525	17968	33745					9659	10441	9109	9784	9650	43130	39145	12480					11879	9934	10467	8411	9824	11569	21050	25767					10984	10346	9204	10482	13131	23674	38957	9875					9404	10966	9085	11406	14518	9027	16249	41001					10857	9562	9946	12276	14171	30234	57718	10114																												
1:39:00	25.1	10074	9984	10158	10881	10205	7360	17446	33183					9607	10276	8947	9733	9362	42670	38362	12480					11663	9771	10422	8207	9524	11190	21009	25288					10776	10280	9107	10380	13005	23245	38397	9911					9454	10813	8881	11201	14499	8870	15945	40617					10660	9440	9891	12050	14281	29761	56898	10047																												
1:40:00	25.2	10088	9885	10041	10747	10131	7225	17164	32309					9201	9956	8727	9560	9458	41849	38043	12347					11557	9673	10221	8082	9455	11161	20386	25282					10685	10136	8787	10291	12792	22665	37709	9733					9155	10612	8807	11029	14225	8676	15749	39584					10399	9173	9695	11940	13995	29332	56022	9779																												
1:41:00	25.2	9769	9793	9886	10414	9960	6892	16988	32224					9259	9870	8480	9444	9097	41125	37304	12180					11224	9444	10014	7995	9093	10913	20124	24834					10472	10028	8705	10131	12626	22292	37068	9496					9126	10383	8752	10828	14220	8591	15420	38689					10272	9094	9439	11818	13754	28726	55139	9684																												
1:42:00	25.2	9663	9764	9821	10321	9886	7055	16412	31459					9234	9854	8531	9411	8927	40613	37293	11954					11279	9296	9965	7827	9107	10663	19907	24310					10362	10014	8560	9769	12599	22141	36289	9487					8952	10296	8378	10568	14065	8473	15080	38132					10175	8902	9305	11533	13531	28026	54093	9624																												
1:43:00	25.2	9784	9475	9560	10136	9748	6960	16209	30870					9133	9801	8353	9127	8805	39738	36297	11671					11089	9148	9821	7866	8802	10451	19513	24021					10189	9821	8537	9762	12543	21560	35960	9278					8736	10110	8326	10511	13811	8288	15033	37580					9886	8768	9031	11364	13541	27796	53161	9494																												
1:44:00	25.2	9500	9397	9337	10215	9501	6845	15989	30269					8903	9504	8273	9279	8766	39080	35715	11574					10823	8945	9625	7576	8821	10356	19157	23516					10323	9550	8255	9532	12330	21154	35282	9207					8563	10025	8101	10302	13549	8075	14703	37034					9918	8559	9116	11297	13276	27314	52600	9345																												
1:45:00	25.2	9465	9387	9047	9825	9503	6894	15710	29888					8673	9387	8114	9042	8692	38401	35213	11623					10597	8860	9586	7509	8572	10328	18804	23156					9962	9617	8102	9461	12015	20763	34839	8984					8505	9860	8089	9956	13512	7872	14372	36186					9594	8338	8816	11078	13076	27113	51154	9226																												
1:46:00	25.2	9252	9231	9232	9838	9337	6595	15451	29453					8536	9409	7967	8992	8411	37708	34604	11629					10582	8766	9260	7537	8547	9934	18656	22762					9824	9524	8035	9120	11958	20415	34234	8894					8339	9737	7840	10130	13375	7718	14130	35468					9606	8355	8754	10810	12958	26191	51119	9132																												
1:47:00	25.2	9219	9198	9101	9770	9135	6508	15071	28999					8487	9226	7804	8922	8384	37411	34034	11325					10448	8646	9343	7419	8353	10016	18334	22327					9710	9268	7799	9082	11671	20076	33472	8775					8269	9564	7707	9815	13123	7591	14092	35125					9418	8139	8545	10833	12824	25743	50295	8987																												
1:48:00	25.3	8987	9015	8866	9634	9189	6482	14918	28520					8206	9218	7775	8808	8273	36822	33751	11251					10258	8554	9283	7115	8240	9750	17914	22165					9518	9150	7806	8989	11484	19728	32953	8479					8145	9439	7687	9554	13047	7543	13755	34420					9149	7896	8209	10729	12557	25627	49529	8800																												
1:49:00	25.3	8997	8958	8862	9522	9156	6219	14749	27875					8266	8966	7689	8732	8084	36485	33262	10968					10241	8280	9112	7009	7926	9625	17534	21772					9432	9028	7847	8760	11600	19457	32571	8471					7833	9285	7424	9425	12888	7515	13605	33689					9097	7836	8339	10408	12513	24996	48602	8663																												
1:50:00	25.3	8802	8987	8649	9473	9069	6306	14535	27523					8091	8911	7541	8521	7997	36060	32935	10999					10098	8376	8957	7055	7790	9418	17379	21517					9562	9035	7512	8601	11429	19024	32258	8364					7850	9216	7457	9316	12675	7256	13314	33209					8937	7863	8130	10205	12434	24610	47697	8542																												
1:51:00	25.3	8939	8754	8371	9166	8869	6179	14032	27095					7991	8888	7453	8546	7854	35327	32207	11031					10034	8078	8911	6738	7831	9333	17268	21236					9241	8873	7431	8649	11299	18758	31529	8243					7748	9130	7186	9158	12458	7146	13108	32565					8794	7627	8165	10201	12176	24403	47435	8484																												
1:52:00	25.3	8801	8675	8317	9190	8776	6072	13767	26877					7838	8934	7366	8351	7839	35036	31678	10914					9896	8048	8821	6692	7744	9032	16948	20950					9213	8842	7311	8432	11002	18339	31325	8237					7630	9093	7280	9054	12476	7004	12902	31807					8815	7566	7852	10022	11935	23871	46493	8440																												
1:53:00	25.3	8590	8708	8295	9098	8680	5985	13639	26322					7805	8809	7223	8410	7659	34466	31157	10573					9797	8048	8656	6744	7535	9129	16782	20777					8979	8643	7308	8239	11040	18285	30464	8028					7533	8829	7096	8981	12086	6979	12733	31667					8759	7397	7818	9865	11905	23535	46100	8341																												
1:54:00	25.3	8494	8610	8291	9052	8675	5926	13531	26292					7818	8622	7105	8211	7555	34056	30696	10578					9645	7740	8569	6622	7489	8863	16465	20358					8744	8550	7113	8224	10890	18040	30372	7918					7432	8747	6966	8768	12174	6813	12532	31216					8465	7471	7727	9744	11798	23247	45247	8168																												
1:55:00	25.3	8536	8500	8003	9078	8463	5950	13232	25453					7577	8623	7087	8261	7486	33088	30502	10433					9434	7753	8457	6469	7404	8579	16150	20205					8947	8662	7127	8159	10700	17734	29630	7755					7228	8677	6860	8724	11999	6624	12390	30554					8354	7292	7548	9637	11601	22963	44629	8144																												
1:56:00	25.3	8534	8412	7906	8687	8468	5822	13103	25556					7446	8539	7134	8048	7363	32927	30272	10417					9427	7515	8474	6360	7206	8630	16003	19915					8787	8422	6982	8027	10664	17334	29362	7708					7167	8554	6610	8670	11755	6667	11965	30141					8249	7138	7432	9448	11415	22444	44259	8057																												
1:57:00	25.3	8475	8299	7740	8686	8403	5662	12737	24922					7361	8434	6920	7978	7268	32616	29940	10207					9472	7403	8437	6341	7166	8543	15869	19445					8603	8167	7075	7815	10557	17005	29003	7625					7265	8459	6681	8358	11779	6429	11925	29605					8083	7048	7295	9444	11512	22099	43312	7796																												
1:58:00	25.3	8242	8317	7751	8660	8144	5505	12537	24332					7309	8385	6707	8120	7077	32035	29331	10133					9421	7434	8145	6238	6983	8234	15438	19285					8789	8185	6714	7696	10367	16987	28682	7623					7086	8333	6444	8199	11586	6321	11871	29209					7955	6889	7298	9296	11239	21760	42941	7725																												
1:59:00	25.3	8061	8138	7549	8478	8025	5586	12308	24058					7308	8274	6859	7904	7078	31525	28958	9964					9147	7217	8161	6200	6960	7975	15248	19206					8529	8171	6547	7681	10254	16486	28332	7393					6959	8047	6544	8023	11419	6190	11598	29105					7907	6650	7218	9051	11079	21553	42208	7742																												
2:00:00	25.3	8309	7940	7631	8567	8161	5523	12133	23911					7022	8082	6603	7962	6937	31060	28872	9943					9129	7083	8122	6173	6814	8157	15118	18706					8360	7999	6575	7505	10178	16171	27620	7165					6876	8167	6385	8149	11366	5985	11373	28564					7930	6631	7016	8995	10911	21263	41765	7557																												

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	-984000.000	-951000.000	-849000.000	-1089000.000	-1463000.000	-852000.000	-4877000.000	-12192000.000	?????	?????	?????	?????	Max V [Lum]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	?????	?????	?????	?????	R-Squared [Lum]
	0:47:30	0:27:30	0:32:30	0:19:30	0:15:30	0:28:30	0:14:30	0:13:30	?????	?????	?????	?????	t at Max V [Lum]
	0:19:39	0:13:04	0:15:48	0:10:02	0:09:14	0:14:14	0:08:19	0:06:46	?????	?????	?????	?????	Lagtime [Lum]
B	-1078000.000	-1283000.000	-1160000.000	-1047000.000	-1126000.000	-16108000.000	-19352000.000	-1136000.000	?????	?????	?????	?????	Max V [Lum]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	?????	?????	?????	?????	R-Squared [Lum]
	0:25:30	0:13:30	0:26:30	0:05:30	0:10:30	0:01:30	0:01:30	0:28:30	?????	?????	?????	?????	t at Max V [Lum]
	0:14:35	0:09:58	0:15:28	0:04:18	0:07:36	0:00:19	0:00:26	0:12:38	?????	?????	?????	?????	Lagtime [Lum]
C	-1153000.000	-934000.000	-1395000.000	-987000.000	-1134000.000	-3275000.000	-5166000.000	-9718000.000	?????	?????	?????	?????	Max V [Lum]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	?????	?????	?????	?????	R-Squared [Lum]
	0:17:30	0:34:30	0:27:30	0:16:30	0:31:30	0:00:30	0:09:30	0:08:30	?????	?????	?????	?????	t at Max V [Lum]
	0:09:30	0:16:23	0:17:46	0:10:10	0:13:49	0:00:00	0:03:36	0:03:14	?????	?????	?????	?????	Lagtime [Lum]
D	-1213000.000	-1228000.000	-1064000.000	-930000.000	-549000.000	-15065000.000	-15829000.000	-1264000.000	?????	?????	?????	?????	Max V [Lum]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	?????	?????	?????	?????	R-Squared [Lum]
	0:28:30	0:23:30	0:26:30	0:24:30	0:52:30	0:01:30	0:00:30	0:05:30	?????	?????	?????	?????	t at Max V [Lum]
	0:14:15	0:13:42	0:15:22	0:20:09	0:42:02	0:00:04	0:00:00	0:02:28	?????	?????	?????	?????	Lagtime [Lum]
E	-1305000.000	-1351000.000	-989000.000	-1121000.000	-648000.000	-1071000.000	-4756000.000	-12365000.000	?????	?????	?????	?????	Max V [Lum]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	?????	?????	?????	?????	R-Squared [Lum]
	0:14:30	0:24:30	0:19:30	0:47:30	0:35:30	0:16:30	0:08:30	0:10:30	?????	?????	?????	?????	t at Max V [Lum]
	0:08:42	0:15:01	0:10:42	0:30:12	0:27:48	0:09:20	0:03:31	0:06:48	?????	?????	?????	?????	Lagtime [Lum]
F	-1232000.000	-1395000.000	-1094000.000	-854000.000	-721000.000	-21402000.000	-22471000.000	-1363000.000	?????	?????	?????	?????	Max V [Lum]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	?????	?????	?????	?????	R-Squared [Lum]
	0:24:30	0:15:30	0:28:30	0:25:30	0:24:30	0:00:30	0:08:30	0:11:30	?????	?????	?????	?????	t at Max V [Lum]
	0:09:48	0:07:23	0:12:24	0:12:21	0:16:36	0:00:00	0:03:47	0:04:05	?????	?????	?????	?????	Lagtime [Lum]
G	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	Max V [Lum]
	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	R-Squared [Lum]
	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	t at Max V [Lum]
	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	Lagtime [Lum]
H	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	Max V [Lum]
	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	R-Squared [Lum]
	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	t at Max V [Lum]
	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	Lagtime [Lum]

