

Software Version	3.16.10



Experiment File Path:	C:\Users\48707651\Documents\Caleb\CMG2_165.xpt
Protocol File Path:	C:\Users\48707651\Documents\Caleb\CMG_8x3_7hr.prt



Plate Number	Plate 1
Date	3/12/2026
Time	5:29:55 PM
Reader Type:	Cytation5
Reader Serial Number:	1601252F
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Start Kinetic	Runtime 7:00:00 (HH:MM:SS), Interval 0:01:00, 421 Reads
    Read	Luminescence Endpoint
	A1..C8
	Integration Time: 0:01.00 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 100 msec
	Extended Dynamic Range
	Read Height: 4.5 mm
End Kinetic	

Lum

Time	T° Lum	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:00	21.4	97	92	90	73	44	19	7	3					104	100	101	78	48	22	7	4					118	109	108	83	47	25	9	5																																																																
0:01:00	21.4	92	93	86	71	38	22	8	5					100	93	89	74	46	21	7	4					110	98	95	75	45	22	8	6																																																																
0:02:00	21.4	89	86	80	64	41	19	8	5					93	90	82	74	46	23	8	4					97	98	88	69	45	24	10	4																																																																
0:03:00	21.4	86	83	78	63	38	22	9	5					82	87	81	68	42	20	8	4					92	86	87	66	43	21	9	5																																																																
0:04:00	21.4	78	75	76	59	38	21	8	5					80	78	77	63	39	20	9	5					80	83	77	63	44	20	8	5																																																																
0:05:00	21.4	72	72	69	59	34	20	8	4					76	73	72	63	40	20	8	5					83	77	75	63	41	19	8	5																																																																
0:06:00	21.4	71	69	65	53	36	18	8	4					70	69	68	60	36	21	9	6					77	74	70	61	39	19	9	4																																																																
0:07:00	21.4	69	66	65	53	35	17	8	4					64	65	63	58	39	19	8	5					71	69	66	58	43	21	10	4																																																																
0:08:00	21.4	67	60	57	51	31	20	7	4					63	62	59	53	38	18	7	5					66	66	63	53	40	19	9	5																																																																
0:09:00	21.4	61	61	56	49	34	18	9	5					60	59	56	51	35	18	7	4					62	62	64	53	36	19	8	4																																																																
0:10:00	21.4	56	56	54	48	34	20	8	5					57	54	54	51	34	19	9	5					64	57	57	50	35	18	8	4																																																																
